time,tavg,tmin,tmax,prcp,pres
1990-01-01,9.0,5.5,14.6,10.0,1023.8
1990-02-01,12.9,8.7,17.5,0.0,
1990-03-01,11.5,8.0,17.1,15.0,1025.5
1990-04-01,12.3,9.2,17.7,57.0,1013.1
1990-05-01,17.9,13.5,22.6,110.2,
1990-06-01,20.0,17.3,25.2,51.0,1013.9
1990-07-01,22.9,19.9,28.3,10.0,1016.4
1990-08-01,24.2,21.1,29.4,48.0,1017.4
1990-09-01,21.8,18.8,26.8,37.0,1015.2
1990-10-01,17.4,14.2,22.6,210.0,1010.9
1990-11-01,11.5,8.7,16.7,84.0,1014.6
1990-12-01,7.0,3.6,12.6,18.0,1016.9
1991-01-01,9.6,5.5,13.6,37.0,1021.8
1991-02-01,8.0,5.3,13.4,47.0,1015.5
1991-03-01,11.7,7.8,15.8,84.0,1010.1
1991-04-01,11.6,7.1,16.6,33.0,1015.1
1991-05-01,12.9,8.2,17.7,20.0,1014.7
1991-06-01,18.8,14.8,23.0,2.0,1016.5
1991-07-01,22.7,17.8,27.5,19.0,1014.1
1991-08-01,23.8,19.6,28.0,42.0,1015.7
1991-09-01,22.2,17.5,26.5,56.0,1014.6
1991-10-01,15.0,10.2,20.1,64.0,1014.3
1991-11-01,11.4,6.7,16.2,67.0,1015.5
1991-12-01,9.1,5.3,13.0,83.0,1024.4
1992-01-01,7.0,2.4,11.6,65.0,1024.0
1992-02-01,8.5,3.6,13.3,8.0,1023.7
1992-03-01,10.8,6.0,15.4,22.0,1016.4
1992-04-01,11.6,7.7,17.6,33.0,1014.2
1992-05-01,18.0,13.0,20.6,68.0,1015.2
1992-06-01,17.5,13.6,21.5,100.0,1011.8
1992-07-01,22.7,17.4,25.7,75.0,1016.8
1992-08-01,25.0,19.4,28.4,32.0,1017.6
1992-09-01,20.7,16.6,24.9,12.0,1020.0
1992-10-01,15.3,10.7,19.3,95.0,1010.9
1992-11-01,12.8,8.0,17.7,0.0,1022.0
1992-12-01,9.7,5.8,13.6,7.0,1016.1
1993-01-01,7.9,2.9,12.9,0.0,1029.2
1993-02-01,8.5,3.9,12.8,42.0,1025.2
1993-03-01,9.8,5.3,14.4,65.0,1020.2
1993-04-01,12.9,7.8,16.5,39.0,1013.4
1993-05-01,17.3,11.8,20.3,10.0,1014.4
1993-06-01,21.7,15.6,24.5,70.0,1017.8
1993-07-01,22.6,17.6,26.6,18.0,1017.2
1993-08-01,24.0,19.9,28.2,115.0,1016.1
1993-09-01,20.0,15.9,24.1,266.0,1012.0
1993-10-01,15.0,11.4,19.9,33.0,1012.4
1993-11-01,10.8,7.9,15.1,26.0,1016.8
1993-12-01,9.3,5.4,14.2,0.0,1020.1
1994-01-01,8.6,4.7,13.6,30.0,1019.4
1994-02-01,9.5,5.9,14.7,31.0,1014.7
1994-03-01,12.3,8.8,17.5,18.0,1022.6
1994-04-01,13.8,8.9,18.7,35.0,1014.3
1994-05-01,18.8,14.2,21.9,24.0,1013.6
1994-06-01,22.4,17.0,25.3,23.0,1018.5
1994-07-01,26.0,21.7,29.8,1.0,1016.1
1994-08-01,25.8,21.8,29.8,5.0,1014.6
1994-09-01,21.3,17.4,25.1,202.0,1014.7
1994-10-01,17.8,13.8,20.9,137.0,1016.1
1994-11-01,15.1,11.3,18.6,18.0,1020.0
1994-12-01,10.3,7.0,14.4,4.0,1022.5
1995-01-01,9.3,5.9,14.2,15.0,1020.8
1995-02-01,11.2,7.5,15.8,15.0,1019.1
1995-03-01,11.2,7.5,15.1,4.0,1017.3
1995-04-01,13.4,9.6,20.7,35.0,1014.9
1995-05-01,17.4,13.6,20.3,24.0,1015.4
1995-06-01,20.2,16.4,22.5,27.0,1015.1
1995-07-01,24.8,20.6,27.4,1.0,1013.9
1995-08-01,24.2,20.7,27.3,87.0,1014.1
1995-09-01,20.0,16.2,23.4,134.0,1013.5
1995-10-01,18.6,15.6,22.1,37.0,1020.3
1995-11-01,13.6,10.1,17.8,46.0,1015.0
1995-12-01,11.2,8.7,14.9,49.0,1011.9
1996-01-01,11.1,8.7,14.2,75.0,1008.5
1996-02-01,9.1,5.6,13.5,38.0,1012.1
1996-03-01,10.9,7.8,14.3,29.0,1012.3
1996-04-01,14.0,10.9,18.4,110.0,1013.5
1996-05-01,16.9,12.8,22.8,136.0,1012.4
1996-06-01,21.5,17.3,29.8,66.0,1017.7
1996-07-01,21.9,19.2,26.3,0.0,1015.8
1996-08-01,22.7,20.4,26.4,145.0,1013.6
1996-09-01,19.3,15.3,23.4,71.0,1011.5
1996-10-01,15.8,12.9,21.3,123.0,1016.8
1996-11-01,12.7,9.6,16.5,143.0,1013.8
1996-12-01,10.6,8.2,13.8,116.0,1007.7
1997-01-01,9.4,7.4,12.6,93.0,1015.3
1997-02-01,10.6,7.4,15.4,0.0,1025.0
1997-03-01,12.0,8.9,16.7,9.0,1024.0
1997-04-01,13.6,11.1,17.7,36.0,1015.0
1997-05-01,17.1,14.4,21.5,8.0,1012.8
1997-06-01,20.0,17.9,23.7,65.0,1009.3
1997-07-01,23.1,19.2,27.0,24.0,1016.8
1997-08-01,23.5,21.0,27.6,26.0,1013.6
1997-09-01,21.9,18.2,25.8,12.0,1018.7
1997-10-01,19.8,16.0,23.5,19.0,1015.2
1997-11-01,13.2,10.3,17.6,57.0,1007.5
1997-12-01,10.4,7.1,14.2,110.0,1012.2
1998-01-01,10.2,7.5,14.6,91.0,1017.1
1998-02-01,10.5,7.1,15.3,3.0,1023.2
1998-03-01,12.3,8.8,17.0,16.0,1020.0
1998-04-01,13.2,8.2,18.2,10.0,1007.3
1998-05-01,18.3,14.2,22.4,54.0,1014.3
1998-06-01,21.9,18.0,25.7,3.0,1017.2
1998-07-01,24.9,20.8,28.9,0.0,1015.0
1998-08-01,25.1,20.8,29.3,58.0,1016.7
1998-09-01,22.3,18.2,26.3,78.0,1013.1
1998-10-01,17.5,13.0,21.9,43.0,1018.2
1998-11-01,12.2,7.8,16.6,11.0,1018.4
1998-12-01,9.9,5.6,14.2,147.0,1021.6
1999-01-01,10.0,5.6,14.3,64.0,1019.3
1999-02-01,10.0,5.6,14.3,2.0,1019.8
1999-03-01,12.5,8.4,16.6,7.0,1013.6
1999-04-01,14.8,10.3,19.2,15.0,1015.7
1999-05-01,19.1,15.1,23.0,15.0,1015.0
1999-06-01,21.5,17.7,25.3,13.0,1017.8
1999-07-01,24.4,20.5,28.2,9.0,1014.9
1999-08-01,25.8,22.3,29.3,5.0,1013.2
1999-09-01,22.8,18.5,27.1,152.0,1013.2
1999-10-01,18.5,14.6,22.3,74.0,1016.2
1999-11-01,11.2,6.8,15.5,66.0,1019.5
1999-12-01,10.2,6.0,14.3,4.0,1019.6
2000-01-01,8.4,4.1,12.6,22.0,1024.5
2000-02-01,11.8,7.6,16.0,1.0,1026.0
2000-03-01,12.8,8.5,17.0,32.0,1020.2
2000-04-01,14.3,10.2,18.4,56.0,1009.3
2000-05-01,18.0,14.3,21.7,29.0,1016.2
2000-06-01,20.9,17.0,24.7,17.0,1018.8
2000-07-01,22.4,18.6,26.2,3.0,1014.4
2000-08-01,24.0,19.6,28.3,29.0,1017.3
2000-09-01,20.7,16.6,24.7,95.0,1015.6
2000-10-01,16.3,12.8,19.8,67.0,1016.6
2000-11-01,12.0,8.2,15.8,17.0,1013.6
2000-12-01,10.9,7.0,14.7,37.0,1014.7
2001-01-01,10.0,6.1,13.8,60.0,1014.7
2001-02-01,9.7,5.7,13.7,12.0,1019.9
2001-03-01,13.2,9.1,17.3,12.0,1011.0
2001-04-01,13.3,9.2,17.3,28.0,1016.3
2001-05-01,16.2,12.6,19.8,34.0,1015.8
